customer_id,name,email,age,city,gender,signup_date
C0001,Customer_1,user1@example.com,56.0,Mumbai,Other,2022-01-01
C0002,Customer_2,user2@example.com,46.0,Hyderabad,M,2022-01-02
C0003,Customer_3,user3@example.com,32.0,Kolkata,M,2022-01-03
C0004,Customer_4,user4@example.com,60.0,Mumbai,Other,2022-01-04
C0005,Customer_5,user5@example.com,25.0,Kolkata,F,2022-01-05
C0006,Customer_6,user6@example.com,38.0,Hyderabad,,2022-01-06
C0007,Customer_7,user7@example.com,56.0,Delhi,M,2022-01-07
C0008,Customer_8,user8@example.com,36.0,Delhi,M,2022-01-08
C0009,Customer_9,user9@example.com,40.0,Kolkata,Other,2022-01-09
C0010,Customer_10,user10@example.com,28.0,Hyderabad,M,2022-01-10
C0011,Customer_11,user11@example.com,28.0,Bengaluru,Other,2022-01-11
C0012,Customer_12,user12@example.com,41.0,Bengaluru,Other,2022-01-12
C0013,Customer_13,user13@example.com,53.0,Kolkata,Other,2022-01-13
C0014,Customer_14,user14@example.com,57.0,Kolkata,M,2022-01-14
C0015,Customer_15,user15@example.com,41.0,Kolkata,Other,2022-01-15
C0016,Customer_16,user16@example.com,,Delhi,F,2022-01-16
C0017,Customer_17,user17@example.com,39.0,Delhi,M,2022-01-17
C0018,Customer_18,user18@example.com,19.0,Mumbai,M,2022-01-18
C0019,Customer_19,user19@example.com,41.0,Pune,M,2022-01-19
C0020,Customer_20,user20@example.com,61.0,Delhi,M,2022-01-20
C0021,Customer_21,user21@example.com,47.0,Hyderabad,M,2022-01-21
C0022,Customer_22,user22@example.com,55.0,Bengaluru,Other,2022-01-22
C0023,Customer_23,user23@example.com,19.0,Bengaluru,Other,2022-01-23
C0024,Customer_24,user24@example.com,38.0,Kolkata,M,2022-01-24
C0025,Customer_25,user25@example.com,50.0,Mumbai,Other,2022-01-25
C0026,Customer_26,user26@example.com,29.0,Kolkata,M,2022-01-26
C0027,Customer_27,user27@example.com,,Bengaluru,Other,2022-01-27
C0028,Customer_28,user28@example.com,61.0,Bengaluru,,2022-01-28
C0029,Customer_29,user29@example.com,42.0,Pune,Other,2022-01-29
C0030,Customer_30,user30@example.com,44.0,Chennai,Other,2022-01-30
C0031,Customer_31,user31@example.com,59.0,Hyderabad,F,2022-01-31
C0032,Customer_32,user32@example.com,45.0,Pune,M,2022-02-01
C0033,Customer_33,user33@example.com,33.0,Kolkata,F,2022-02-02
C0034,Customer_34,user34@example.com,32.0,Chennai,Other,2022-02-03
C0035,Customer_35,user35@example.com,64.0,Bengaluru,F,2022-02-04
C0036,Customer_36,user36@example.com,61.0,Mumbai,M,2022-02-05
C0037,Customer_37,user37@example.com,20.0,Mumbai,M,2022-02-06
C0038,Customer_38,user38@example.com,54.0,Bengaluru,Other,2022-02-07
C0039,Customer_39,user39@example.com,24.0,Delhi,F,2022-02-08
C0040,Customer_40,user40@example.com,38.0,Chennai,F,2022-02-09
C0041,Customer_41,user41@example.com,26.0,Bengaluru,F,2022-02-10
C0042,Customer_42,user42@example.com,56.0,Mumbai,M,2022-02-11
C0043,Customer_43,user43@example.com,35.0,Mumbai,M,2022-02-12
