customer_id,name,email,age,city,gender,signup_date,age_group
C0001,Customer_1,user1@example.com,56.0,Mumbai,Other,2022-01-01,Senior
C0002,Customer_2,user2@example.com,46.0,Hyderabad,M,2022-01-02,Senior
C0003,Customer_3,user3@example.com,32.0,Kolkata,M,2022-01-03,Adult
C0004,Customer_4,user4@example.com,60.0,Mumbai,Other,2022-01-04,Senior
C0005,Customer_5,user5@example.com,25.0,Kolkata,F,2022-01-05,Adult
C0006,Customer_6,user6@example.com,38.0,Hyderabad,Unknown,2022-01-06,Adult
C0007,Customer_7,user7@example.com,56.0,Delhi,M,2022-01-07,Senior
C0008,Customer_8,user8@example.com,36.0,Delhi,M,2022-01-08,Adult
C0009,Customer_9,user9@example.com,40.0,Kolkata,Other,2022-01-09,Adult
C0010,Customer_10,user10@example.com,28.0,Hyderabad,M,2022-01-10,Adult
C0011,Customer_11,user11@example.com,28.0,Bengaluru,Other,2022-01-11,Adult
C0012,Customer_12,user12@example.com,41.0,Bengaluru,Other,2022-01-12,Adult
C0013,Customer_13,user13@example.com,53.0,Kolkata,Other,2022-01-13,Senior
C0014,Customer_14,user14@example.com,57.0,Kolkata,M,2022-01-14,Senior
C0015,Customer_15,user15@example.com,41.0,Kolkata,Other,2022-01-15,Adult
C0016,Customer_16,user16@example.com,42.0,Delhi,F,2022-01-16,Adult
C0017,Customer_17,user17@example.com,39.0,Delhi,M,2022-01-17,Adult
C0018,Customer_18,user18@example.com,19.0,Mumbai,M,2022-01-18,Youth
C0019,Customer_19,user19@example.com,41.0,Pune,M,2022-01-19,Adult
C0020,Customer_20,user20@example.com,61.0,Delhi,M,2022-01-20,Senior
C0021,Customer_21,user21@example.com,47.0,Hyderabad,M,2022-01-21,Senior
C0022,Customer_22,user22@example.com,55.0,Bengaluru,Other,2022-01-22,Senior
C0023,Customer_23,user23@example.com,19.0,Bengaluru,Other,2022-01-23,Youth
C0024,Customer_24,user24@example.com,38.0,Kolkata,M,2022-01-24,Adult
C0025,Customer_25,user25@example.com,50.0,Mumbai,Other,2022-01-25,Senior
C0026,Customer_26,user26@example.com,29.0,Kolkata,M,2022-01-26,Adult
C0027,Customer_27,user27@example.com,42.0,Bengaluru,Other,2022-01-27,Adult
C0028,Customer_28,user28@example.com,61.0,Bengaluru,Unknown,2022-01-28,Senior
C0029,Customer_29,user29@example.com,42.0,Pune,Other,2022-01-29,Adult
C0030,Customer_30,user30@example.com,44.0,Chennai,Other,2022-01-30,Adult
